country_slug,country_name,region,course_name,course_slug,hotel,legacy_php,legacy_bodies,hero_hash,hero_ext,status
scotland,Scotland,St. Andrews,St. Andrews Links — Old Course,st-andrews-links-old-course,Old Course Hotel,91,4,1d9f7a6320d08955008726aaf209ef53,jpg,matched
scotland,Scotland,St. Andrews,Fairmont St. Andrews,fairmont-st-andrews,Fairmont St. Andrews Resort & Spa,,0,,,no-detail
scotland,Scotland,Scottish Highland,Cabot Highlands,cabot-highlands,Kingsmills Hotel,92,5,01f3b07745047f282df36a1e88db6718,jpg,matched
scotland,Scotland,Scottish Highland,Royal Dornich Championship Course,royal-dornich-championship-course,Dornoch Castle Hotel,94,3,9481f06896653a5b333480633b376af6,jpg,matched
scotland,Scotland,Aberdeen,Royal Aberdeen Golf Club,royal-aberdeen-golf-club,Malmaison Aberdeen,100,6,9319f01578e8877a8c30742801cbcf25,jpg,matched
scotland,Scotland,Aberdeen,Trump International,trump-international,Malmaison Aberdeen,98,5,2f17e677105c6c3c84f9e9061e2fa7a4,jpg,matched
scotland,Scotland,Edinburgh,The Bruntsflield Links,the-bruntsflield-links,Malmoison Edinburgh,93,3,f8330ac2fac9d59d3ce5430a4781efa2,jpg,matched
scotland,Scotland,East Lothian,Gullane Golf Club,gullane-golf-club,Marine Hotel & Spa,95,4,a9b66180452be6c9aa211c7c722ec0f7,jpg,matched
ireland,Ireland,South West Ireland,Killarney G.C. Killen,killarney-g-c-killen,Killarney Plaza Hotel,86,3,6c1028e6c55c8be7ed1e762f261a48c0,jpg,matched
ireland,Ireland,North Ireland,Ballyliffin Golf Club,ballyliffin-golf-club,Ballyliffin Lodge & Spa,85,3,e047583c4d6fe30f31531a8f568de363,jpg,matched
ireland,Ireland,North Ireland,Royal Portrush Golf Club — Dunlance Links,royal-portrush-golf-club-dunlance-links,Portrush Atlantic Hotel,,2,,,no-detail
ireland,Ireland,South West Ireland,Tralee Golf Club,tralee-golf-club,Adare Manor Hotel & Golf Resort,,2,,,no-detail
ireland,Ireland,East Ireland,Portmarnock Golf Club (Old),portmarnock-golf-club-old,Portmarnock Hotel,,2,,,no-detail
ireland,Ireland,East Ireland,Carton House Golf Club,carton-house-golf-club,Carton House Hotel,89,4,14afc61ed47a61aa8995a0da037a1d55,jpg,matched
wales,Wales,Cardiff,Golf at the Vale Resort,golf-at-the-vale-resort,The Vale Resort,155,7,85f721b407707945a3a2178c35008158,jpg,matched
